Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,8,S,,,45,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,8,U,,,38,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,8,W,,,40,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,8,WV,,20,30,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,,,,,15,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,9,B,100,,10,cobble,80,A,0,none,none
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,9,C,,,22,gravel,20,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,9,F,,,37,sand,0,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,9,G,,80,37,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,9,O,,,45,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,9,S,,,45,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,9,U,,,45,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,9,W,,,50,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,9,WV,,20,45,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,,,,,20,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,10,B,50,,12,cobble,60,PAW,0,minimal,minimal
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,10,C,,,17,gravel,25,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,10,F,,,25,sand,15,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,10,G,50,,35,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,10,O,,,50,,,,,,
