Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
CR,8292021,"TGQ, SC",2,na,na,na,na,na,3,W,,,49,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,3,WV,5,,32,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,3,,,,12,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,4,B,85,,48,cobble,28,PAW,0,none,moderate
CR,8292021,"TGQ, SC",2,na,na,na,na,na,4,C,,,50,gravel,77,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,4,F,,,41,sand,0,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,4,G,10,100,33,clay,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,4,O,,,30,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,4,S,,,56,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,4,U,,,44,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,4,W,,,25,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,4,WV,5,,12,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,4,,,,7,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,5,B,90,5,60,cobble,60,PAW,0,minimal,minimal
CR,8292021,"TGQ, SC",2,na,na,na,na,na,5,C,,,68,gravel,40,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,5,F,,,55,sand,0,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,5,G,7,95,25,clay,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,5,O,,,30,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,5,S,,,40,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,5,U,,,28,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,5,W,,,13,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,5,WV,3,,1,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,5,,,,5,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,6,B,90,,42,cobble,20,P,0,none,moderate
CR,8292021,"TGQ, SC",2,na,na,na,na,na,6,C,,,55,gravel,75,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,6,F,,,50,sand,5,,,,
